c1,c2,stim,nparses,bgJonesMewhort,bgSUBTLEX,bgFacebook,sim_c1stim,sim_c2stim,sim_c1c2stim,label
back,side,backside,1,10.5,-0.17075538899999998,-0.19607315600000003,0.3076672852039337,0.34502023458480835,0.4100813865661621,1
hill,side,hillside,1,11.3,-0.164960138,-0.113493392,0.6060206294059753,0.2057255059480667,0.5422220230102539,1
bed,side,bedside,1,11.0,-0.135056851,0.061003165,0.4357180595397949,0.09127690643072128,0.37412524223327637,1
road,side,roadside,1,11.0,-0.135056851,0.061003165,0.3581596910953522,0.06385350227355957,0.28338423371315,1
down,side,downside,1,12.4,0.097973356,0.118726289,0.16968056559562683,0.2045326828956604,0.2375739961862564,1
mountain,side,mountainside,1,12.4,0.097973356,0.118726289,0.7189290523529053,0.14975467324256897,0.6287708282470703,1
off,side,offside,1,8.16,-0.373559175,-0.397396751,0.1206214427947998,0.19435882568359375,0.2003190517425537,1
water,side,waterside,1,12.5,0.359919785,0.43043049,0.22627292573451996,0.0500154085457325,0.19864611327648163,1
broad,side,broadside,1,11.0,-0.135056851,0.061003165,0.062147777527570724,0.19347305595874786,0.16635926067829132,1
mountain,sides,mountainsides,2,12.4,0.097973356,0.118726289,0.5676205158233643,0.07558190822601318,0.4473641514778137,1
river,sides,riversides,2,12.5,0.359919785,0.43043049,0.45393094420433044,0.078996442258358,0.3673607409000397,1
country,sides,countrysides,1,10.7,-0.09635121,0.01442177,0.3689289689064026,0.0288837943226099,0.23324939608573914,1
hill,sides,hillsides,2,11.3,-0.164960138,-0.113493392,0.4730243682861328,0.11529450118541718,0.3993659019470215,1
road,sides,roadsides,2,11.0,-0.135056851,0.061003165,0.34427568316459656,0.07687658071517944,0.2647207975387573,1
bed,sides,bedsides,2,11.0,-0.135056851,0.061003165,0.27747219800949097,0.06032726541161537,0.24085596203804016,1
back,sides,backsides,2,10.5,-0.17075538899999998,-0.19607315600000003,0.2611269950866699,0.1926160454750061,0.28838804364204407,1
broad,sides,broadsides,2,11.0,-0.135056851,0.061003165,0.08275195956230164,0.11484350264072418,0.1341949850320816,1
down,sides,downsides,2,12.4,0.097973356,0.118726289,0.058302972465753555,0.10379500687122345,0.11005579680204391,1
fire,sides,firesides,2,13.4,1.573218026,1.990441865,0.03929755091667175,0.09944110363721848,0.0936875194311142,1
top,sides,topsides,2,10.2,-0.273012797,-0.30001581899999996,-0.033952947705984116,0.12403832376003265,0.0732395350933075,1
hind,sight,hindsight,1,11.0,-0.135056851,0.061003165,0.01926138997077942,0.14020608365535736,0.0932106226682663,1
over,sight,oversight,1,12.5,0.359919785,0.43043049,0.05737816542387009,0.11328151077032089,0.12315727025270462,1
eye,sight,eyesight,1,13.4,1.573218026,1.990441865,0.3635564148426056,0.44551828503608704,0.48459163308143616,1
